index,designation,ra,dec,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,ruwe,teff_gspphot
52,Gaia DR3 2275203197857731584,309.966117091307,72.19651844062241,9.013169,8.590548,9.270586,1.0345125,6114.8594
53,Gaia DR3 498435631923016448,87.46397779348975,72.36725999715581,9.067428,8.64156,9.32513,0.9416907,6079.196
54,Gaia DR3 1697151005551084288,226.62729201985724,73.00179901617707,9.195992,8.722931,9.501043,0.9757547,6111.031
55,Gaia DR3 537180463182852608,4.451914679781968,72.01657933773954,9.051937,8.70778,9.24737,1.0319868,6666.8726
56,Gaia DR3 1120839030915427840,142.30768857217635,72.56459612535615,9.04971,8.734688,9.206388,0.9492643,6934.617
57,Gaia DR3 2267035819327498240,277.35717547923844,72.82534270126486,9.16388,8.764819,9.404391,0.95596296,6272.205
58,Gaia DR3 544418475209373440,54.33271778999038,73.08281230446445,9.072958,8.490141,9.487321,1.0591475,5171.487
59,Gaia DR3 1685996528806691968,193.77921767490696,70.36953815577385,9.25945,8.6495905,9.702294,0.91201943,5077.6885
60,Gaia DR3 2224435069510952704,329.7083304433798,70.8853424001114,9.0617695,8.692238,9.277047,0.8910856,6473.4746
61,Gaia DR3 1109797460271400064,108.91280256099981,70.93932534129844,9.650182,9.200954,9.93398,1.0857978,5938.4297
62,Gaia DR3 1652873809739425024,246.4254561470975,70.33147982607287,9.320523,8.663647,9.817886,1.1871837,5040.5444
63,Gaia DR3 535406435530652928,22.297627732476375,72.93221314072852,9.839067,9.275698,10.238973,0.9295381,5222.674
64,Gaia DR3 1073576832832273536,161.14593228619245,69.94678502148544,9.276955,8.91515,9.487435,1.0042423,6507.2847
65,Gaia DR3 2263317167924368896,296.32300184796196,71.30558727885197,9.28602,8.870808,9.540039,0.9105386,6156.151
66,Gaia DR3 499161550115372672,77.14991406406281,72.48363276257949,9.079984,8.5940895,9.395865,0.9020327,5719.6978
67,Gaia DR3 1674172346401979520,214.3900409272678,70.35868790246532,9.364544,8.863397,9.69922,1.013542,5743.8135
68,Gaia DR3 2227350905632198656,348.70744053723433,70.78483397462222,9.0622425,8.687098,9.279916,1.0825039,6688.6045
69,Gaia DR3 1121400675198944384,128.7071341127202,69.68468284730925,9.144095,8.57463,9.544995,1.0795628,5276.348
70,Gaia DR3 1637911896027149696,264.6426324350482,68.91428018098104,9.01121,8.5025015,9.352892,1.0683624,5874.2397
71,Gaia DR3 545122166949069952,41.18526659623041,70.87145286604002,9.06106,8.677665,9.286895,1.1752684,6380.772
72,Gaia DR3 1061353252828373760,179.7864476632602,69.52353980063272,9.126539,8.797671,9.3044195,1.2685055,6798.938
73,Gaia DR3 2270859027417195520,318.70612739831114,70.19696371473586,9.082798,8.651248,9.349592,0.9346336,6063.9897
74,Gaia DR3 1106906157010144512,95.55642778805121,68.86435127249774,9.051381,8.632072,9.304265,0.99682915,6122.068
75,Gaia DR3 1695711710470380160,231.72194549990348,70.2642130250502,9.008882,8.617424,9.243183,0.918356,6380.005
76,Gaia DR3 529379153308600192,11.131099571941053,68.15083379850513,9.405278,9.039838,9.616187,0.89500237,6570.6865
77,Gaia DR3 1071514767494047488,149.9209866705746,70.78266621835034,9.156919,8.7714205,9.384734,1.0564883,6395.7227
78,Gaia DR3 2262966526793134208,287.39580564559725,71.5835425061256,9.025117,8.617455,9.271082,0.98777944,6230.662
79,Gaia DR3 500220104935902208,64.97355069854463,70.74702187570266,9.163146,8.640975,9.511974,0.95317924,6018.4746
80,Gaia DR3 1684611625191948416,201.67234878346392,68.22261127172791,9.211231,8.769055,9.488684,0.81205994,6013.8145
81,Gaia DR3 2226100829630733824,339.8613622563228,69.44917765536775,9.076359,8.666267,9.321998,0.938687,6193.276
82,Gaia DR3 1110351167455557888,115.63548150645836,70.6841212788763,9.195542,8.783748,9.446509,1.0966258,6194.8433
83,Gaia DR3 1636590420489406720,252.94053309955274,67.24482861410696,9.164291,8.809027,9.368532,0.9453078,6665.5225
84,Gaia DR3 521343716170616320,30.418414741156102,68.78142284931391,9.164731,8.660698,9.499198,0.9550346,5744.911
85,Gaia DR3 1060893622608453888,169.03910510246004,67.54070535522877,9.342362,8.852577,9.664087,0.9185718,5796.304
86,Gaia DR3 2250421855034723584,304.1054103668929,69.22937630866619,9.07649,8.62311,9.362081,1.0097436,5925.719
87,Gaia DR3 485076015891272576,83.97074956776919,69.44198254412404,9.273854,8.897257,9.494419,0.9179524,6420.0513
88,Gaia DR3 1694925417921957632,221.14001560924493,69.83693423157267,9.02362,8.664043,9.231032,1.0195168,6519.0913
89,Gaia DR3 2214295918740397824,357.41016272851795,69.21255268553934,9.084315,8.662037,9.339454,1.0374699,6129.954
90,Gaia DR3 1117556164072536192,137.46046183025007,68.88687115147209,9.233395,8.823464,9.482416,1.1291618,6292.046
91,Gaia DR3 2258452413086133120,273.06500129195695,68.45012319943245,9.05822,8.404643,9.550124,1.0657562,5103.746
92,Gaia DR3 492980851659716864,50.05557785865534,68.34211146500567,9.046728,8.710795,9.236811,1.0118895,6712.8716
93,Gaia DR3 1682894291108691328,189.71741027966564,69.54002595285075,9.462389,8.940469,9.814952,0.9313212,5733.2695
94,Gaia DR3 2219557292335446784,327.68787620415077,66.85363797552827,9.107543,8.367691,9.70224,0.9780685,5005.851
95,Gaia DR3 1105774725183475456,101.51518064663644,67.22930369307971,9.020073,8.600125,9.273866,1.0095388,6114.886
96,Gaia DR3 1642036851337747072,242.41507633016167,65.82798481228245,9.064981,8.541771,9.418318,0.81725496,5579.3604
97,Gaia DR3 531976848306029440,19.35278741420616,69.0812620077588,9.256427,8.881437,9.47772,1.2463008,6538.7866
98,Gaia DR3 1065941136894175616,156.74138440706776,67.05009937079733,9.212136,8.675125,9.579421,1.0513597,5658.288
99,Gaia DR3 2254765853678517376,291.85546864232106,66.01235200190497,9.002372,8.601247,9.240028,0.9812943,6306.8647
100,Gaia DR3 483117064128180480,69.64886000438378,65.7740773731739,9.108558,8.76326,9.305583,1.0622668,6643.1797
101,Gaia DR3 1672682714304403328,208.51279686351515,67.39643422930426,9.120217,8.593167,9.480464,0.97686434,5633.505
102,Gaia DR3 2211883628886865024,345.1874133539052,65.57604077061744,9.123609,8.725885,9.358381,0.93243617,6466.7754
103,Gaia DR3 1095395953891982976,121.41524643053596,66.90798508642867,9.129959,8.741422,9.3596525,1.0083555,6349.899
104,Gaia DR3 1633704133747972096,259.2925030225252,65.31315607316763,9.036713,8.679857,9.239677,0.9282295,6587.091
105,Gaia DR3 516128010972653824,40.26212212053189,65.64370298392767,9.124377,8.562566,9.518063,0.9045808,5321.916
106,Gaia DR3 1057034371154589056,174.84676362298086,66.53092433147616,9.118722,8.470113,9.601689,0.9811619,5131.0024
107,Gaia DR3 2245677565441853184,312.8984114173103,66.03801991369076,9.048924,8.552815,9.372121,0.9240872,5747.9365
108,Gaia DR3 1104961739413925376,91.62308518972365,67.02118366555584,9.099995,8.619509,9.409989,0.91305286,5748.7188
109,Gaia DR3 1645117854717201664,229.8800650932915,66.24916781186344,9.174864,8.821129,9.376312,0.81420213,6690.345
110,Gaia DR3 528020363092315648,6.726162803736992,67.53046563508026,9.546962,9.033822,9.891113,0.9091712,5675.0933
111,Gaia DR3 1068346833976321920,143.52732596739872,66.7652887970165,9.051515,8.685226,9.26498,1.0085646,6483.8315
112,Gaia DR3 2256321559550924928,279.4292693254853,63.69700682538566,9.056909,8.612216,9.051929,1.3792801,6885.114
113,Gaia DR3 487404231765045504,57.91157630672459,64.02461546653917,9.2192,8.444977,9.86302,0.9208106,5036.7383
114,Gaia DR3 1679341116204309504,196.1109291748329,67.33349390417816,9.057214,8.764178,9.215142,1.1818941,6970.296
115,Gaia DR3 2218661155999735296,333.138358990194,65.48353914613085,9.192578,8.482282,9.752102,0.9588459,5045.442
116,Gaia DR3 1101302358557010688,110.00511005956692,64.7711469477752,9.106874,8.7195015,9.33447,0.9585389,6481.294
117,Gaia DR3 1635993488753781376,249.9570576743889,65.81574418014024,9.111887,8.698957,9.359375,0.9324719,6170.6494
118,Gaia DR3 513078378034369408,24.343041190346224,64.88195132626615,9.062773,8.648229,9.310926,0.93231875,6159.643
119,Gaia DR3 1058492495372114816,161.88986154360992,64.38156281850125,9.069648,8.689459,9.289321,0.9255534,6403.044
120,Gaia DR3 2244314823859249536,301.3990226453211,63.70593678105147,9.121493,8.548593,9.373887,1.239594,5482.6772
121,Gaia DR3 478502345105741824,79.22246722071812,64.77741368033931,9.060047,8.748576,9.232396,0.9490792,6871.675
122,Gaia DR3 1668282846727191168,215.92016750478703,65.39566022423156,9.179246,8.693568,9.492832,0.9748639,5707.6904
123,Gaia DR3 2015888255232251520,353.77509962857334,63.01690055426145,9.154868,8.823787,9.340323,0.88971364,6822.1226
124,Gaia DR3 1092300656861202048,131.77723563565215,64.71855946237552,9.235141,8.868044,9.447908,1.0950326,6490.552
125,Gaia DR3 1439676443529462784,267.88791090800254,63.20296967488552,9.101957,8.73017,9.317208,1.1549717,6433.8965
126,Gaia DR3 468029733071974912,45.72417158042237,64.82566373431216,9.067729,8.705242,9.275403,1.0784588,6612.126
127,Gaia DR3 1584883927687584768,185.0897518809894,64.77604975258745,9.023496,8.536465,9.335047,1.0473007,5665.891
128,Gaia DR3 2193116545949800960,319.9268124559674,62.1941284521653,9.08685,8.706504,9.308649,0.87823844,6414.855
129,Gaia DR3 1103559243613168768,100.21888870830037,64.66584924019406,9.026639,8.505197,9.376066,1.0057992,5923.784
130,Gaia DR3 1640372912288024704,237.16950990120125,64.09868510239573,9.246525,8.828572,9.500773,0.87057406,6147.4043
131,Gaia DR3 524431900741280512,13.11520893467516,64.793526235479,9.265646,8.523122,9.86827,1.0380416,5008.1597
132,Gaia DR3 1051301586247573120,150.63065278942958,62.43441352779179,9.20969,8.651179,9.596259,1.0245478,5489.906
133,Gaia DR3 2254131401111537152,289.13998371166105,64.08579390975031,9.172946,8.820522,9.375536,0.97182196,6870.5923
134,Gaia DR3 476073970596582784,65.95112568448779,63.626928804812096,9.061748,8.643596,9.314997,1.016763,6131.193
135,Gaia DR3 1665892886405601536,203.92605923977834,64.47289140640967,9.66797,9.183395,9.986354,0.8726178,5732.8887
136,Gaia DR3 2207898105394628608,341.36895469667945,62.25521651970919,9.051077,8.325731,9.625682,0.95844257,5506.4585
137,Gaia DR3 1087659648342866048,117.18159490617472,60.9953241955329,9.119774,8.50373,9.565432,0.9673799,5416.109
138,Gaia DR3 1438635274737122816,256.9297497443063,61.65478963362809,9.285983,8.820547,9.580613,1.0709783,5816.9097
139,Gaia DR3 514638344517237888,32.01826391605788,62.90585490376365,9.202193,8.83199,9.416082,1.35257,6644.7266
140,Gaia DR3 862751972197108992,171.25866959307754,61.72411883000964,9.197684,8.575185,9.648418,0.9962857,5520.624
141,Gaia DR3 2243601962363799680,308.7476316678793,63.474925359521436,9.012959,8.540365,9.314341,1.0856812,5831.7393
