index,designation,ra,dec,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,ruwe,teff_gspphot
544,Gaia DR3 2092496903998348032,285.7497630694516,34.60226993185734,9.027848,8.701976,9.208602,1.1121207,6906.1997
545,Gaia DR3 170864553633847808,61.35594400691831,33.74826901347773,9.108461,8.698437,9.355091,1.0125023,6197.4116
546,Gaia DR3 1473894413617422464,197.82586259573188,34.95691666087787,9.088742,8.658728,9.353485,1.036693,6082.818
547,Gaia DR3 1904281919435838464,337.82344184469423,35.90972867993246,9.05469,8.584159,9.355041,0.96522987,5829.1147
548,Gaia DR3 893998202872932992,115.38322047876794,33.40942333983063,9.035019,8.615274,9.284155,1.1457126,6139.2964
549,Gaia DR3 1314036074457891712,251.65405569873755,32.276543182701005,9.122834,8.663393,9.413784,0.9896191,5892.6562
550,Gaia DR3 329061122702415872,30.349439306139008,33.97073934326337,9.024042,8.346496,9.543077,1.1245568,5269.0537
551,Gaia DR3 761122772411067264,166.00105006335934,33.14555526971738,9.175372,8.668268,9.513754,1.0095962,5602.2017
552,Gaia DR3 2055014277739104896,303.09510555227877,32.871599665362666,9.016481,8.090841,9.850045,1.2079984,5186.197
553,Gaia DR3 183648918926567424,80.09662381034869,35.37859394890061,9.011362,8.276307,9.596843,0.9760974,5012.129
554,Gaia DR3 1286690429999759232,220.44414598135157,33.01124645570086,9.006029,8.490186,9.347614,1.0311176,5625.6426
555,Gaia DR3 2878727771747217408,357.84030833552686,35.7268974820025,9.0073595,8.573699,9.274107,0.9383769,6062.0396
556,Gaia DR3 716266271412108288,133.07104455913222,34.102727178666726,9.108186,8.814058,9.267609,0.9983461,6952.7695
557,Gaia DR3 4604578161088478464,271.00927790983224,34.522694683298674,9.052376,8.592449,9.339924,1.0665492,5969.3013
558,Gaia DR3 125698406967498624,51.25734191236476,33.804031683981684,9.185148,8.858883,9.367551,1.1020362,6933.452
559,Gaia DR3 4016731725358582400,185.3808900761197,33.4688073910894,9.125021,8.665966,9.414842,1.1546174,5893.9604
560,Gaia DR3 1950262224403340544,324.4802912430496,34.32446205958444,9.092979,8.588564,9.424124,0.9609118,5820.5894
561,Gaia DR3 938837283487174784,100.82017491281204,34.61835008825788,9.059795,8.352177,9.616935,0.87678003,5001.3403
562,Gaia DR3 1370091857301159680,237.86007988493554,33.15768020627792,9.036732,8.679357,9.242015,0.9860359,6618.921
563,Gaia DR3 315216072285502976,16.452225449759126,35.23829618048878,9.016166,8.628652,9.245223,1.0321935,6324.811
564,Gaia DR3 749024502373761664,155.19055311689272,32.39815762487655,9.010473,8.427134,9.424306,0.86793965,5164.7397
565,Gaia DR3 2046718084549829760,291.73836685464806,34.48645708045792,9.003886,8.378007,9.463956,0.83705443,5167.128
566,Gaia DR3 171788555717817472,68.42138328571116,32.003283226734396,9.202211,8.376142,9.919257,0.9236751,5211.386
567,Gaia DR3 1468928263193030272,205.13309597702533,32.875183954103825,9.060923,8.744558,9.237054,0.99511427,6804.991
568,Gaia DR3 1889432220331725696,343.78612807341045,31.204828541505808,9.0433035,8.5849905,9.331973,1.1315902,5892.873
569,Gaia DR3 902430250170858240,123.67023829872461,33.178565814692135,9.06594,8.499015,9.299068,1.3688923,5838.8955
570,Gaia DR3 1335000084707745408,259.1019260450044,34.50630020706425,9.029147,8.611194,9.283842,1.0142661,6152.215
571,Gaia DR3 132766857983882752,37.112834638645495,32.170180411704955,9.035964,8.697855,9.232155,0.9560728,6837.8555
572,Gaia DR3 4024355773345118080,173.74038288658346,31.515329460882185,9.054211,8.543023,9.395734,1.0223675,5635.797
573,Gaia DR3 1859634806693344256,312.54080913401805,31.050754804804814,9.008155,8.634369,9.226959,0.9520883,6469.179
574,Gaia DR3 3451315700499760640,88.69716218069404,33.07902191288523,9.090959,8.678919,9.338691,1.1960646,6752.9053
575,Gaia DR3 1288251289837230336,225.55161142724756,31.349659497102916,9.169561,8.750542,9.420537,1.006317,6124.535
576,Gaia DR3 2861806356514522496,2.5727770811729336,31.449209862574566,9.0071535,8.655397,9.209561,0.96229005,6929.137
577,Gaia DR3 700504978386281472,141.49571212680118,31.315870244773386,9.172847,8.746843,9.431798,1.259212,6106.775
578,Gaia DR3 4589044982368912128,278.25532013836636,31.59523427615082,9.076695,8.706767,9.292493,0.99083364,6480.6357
579,Gaia DR3 168604374341639936,58.398012253634846,30.773322041222674,9.05486,8.58608,9.354486,1.2291285,5824.502
580,Gaia DR3 1465519055591311488,194.5597949556168,31.001682230346916,9.308114,9.003264,9.476992,0.92084384,6875.4106
581,Gaia DR3 1947991354933439744,330.07872917355013,34.17930559935029,9.007098,8.304124,9.553472,1.0367575,5228.5977
582,Gaia DR3 890081123980138624,108.358223787475,32.02576368587406,9.065544,8.642789,9.325517,1.0616978,6089.206
583,Gaia DR3 1326049544661024000,246.67212505922672,33.84476990262779,9.120634,8.49445,9.561366,1.1351243,5919.72
584,Gaia DR3 315924089053927680,23.932425590414383,32.26839656837428,9.019921,8.317606,9.565974,0.9940022,5123.985
585,Gaia DR3 736350496264030976,163.4260072157854,30.356839336304233,9.132347,8.676506,9.417979,1.2569057,5868.396
586,Gaia DR3 2034106376960134912,300.2757495991137,32.55682359873958,9.035489,8.654112,9.261653,0.9150542,6408.6
587,Gaia DR3 157219820491441792,76.8644777268062,31.12044679599887,9.003182,8.5480385,9.29048,0.9432331,5917.355
588,Gaia DR3 1284915268477045504,216.06247828799653,30.458801122035847,9.054108,8.6043415,9.336591,0.89529634,5945.0938
589,Gaia DR3 1910321914762850944,350.4471851461126,32.836246879582404,9.044124,8.532761,9.37931,0.95532537,5575.466
590,Gaia DR3 709395904286867840,128.99670454696835,30.643746125738936,9.202248,8.764017,9.472906,0.8549558,5990.2056
591,Gaia DR3 4601323056913745536,265.6454897374814,32.90556338836012,9.075487,8.419558,9.566175,1.0543611,5123.988
592,Gaia DR3 135667094780407296,44.956406417814435,32.5913022020856,9.066699,8.341596,9.632935,1.1693536,5178.652
593,Gaia DR3 4027177773017352704,180.8981866781047,33.068818060836556,9.058704,8.628035,9.323868,1.098994,6045.555
594,Gaia DR3 1851753198097420800,320.28813125676584,30.31572659869862,9.071853,8.649982,9.327186,1.073909,6114.846
595,Gaia DR3 3439321166809898496,97.83182246910143,33.11935832014473,9.066119,8.641755,9.329248,0.9355624,6105.913
596,Gaia DR3 1369312612795200256,236.62483812983334,31.278142961867125,9.203733,8.763504,9.475561,1.0446892,5969.583
597,Gaia DR3 2858377946115784192,10.539449139726173,30.63449831931215,9.045794,8.660559,9.271965,1.2268522,6483.536
598,Gaia DR3 743837143952279552,151.5990263724077,29.891635369169347,9.083453,8.703698,9.308442,0.9440491,6412.0137
599,Gaia DR3 2043119657854644608,289.0300409293276,32.68405300823431,9.033768,8.598224,9.303539,0.90907675,6037.181
600,Gaia DR3 166091234358333184,64.55584739454031,30.33296697074423,9.047222,8.255459,9.71198,1.051814,5019.9053
601,Gaia DR3 1456233198858304896,203.64630843576387,30.31848041177259,9.125656,8.512872,9.569059,0.9127825,5055.4707
602,Gaia DR3 1901264859529601024,339.9296941634627,32.6635536118254,9.007777,8.331711,9.523063,1.0799584,5109.1006
603,Gaia DR3 881785549266089216,117.80447190429558,32.97996960054175,9.014139,8.540271,9.31604,1.0985012,5785.197
604,Gaia DR3 1313275448633710080,253.2507628671241,31.984216974569307,9.143541,8.492515,9.628839,0.9853603,5111.0137
605,Gaia DR3 324658021013655296,33.33480347385673,31.72239949760879,9.105166,8.4236145,9.628595,1.1395998,5224.724
606,Gaia DR3 4023140297600561280,169.30958618958695,29.57065573443323,9.094431,8.608105,9.408219,1.1210399,5681.278
607,Gaia DR3 1863615107510180480,308.57324227888097,32.90842079542241,9.029423,8.616299,9.225715,1.327836,6531.059
608,Gaia DR3 3444974237126056320,86.45948331227959,30.820229908313728,9.090631,8.376885,9.649022,1.1207781,5068.4116
609,Gaia DR3 1283428312143987584,222.47911032959018,31.995075032428414,9.032949,8.622059,9.262643,1.1410234,6236.0757
610,Gaia DR3 2861041306876695680,1.15888084600561,29.722248124703256,9.065539,8.390742,9.577299,0.9774792,5226.54
611,Gaia DR3 699279538317737728,135.84687799110336,29.376842383581955,9.181817,8.728277,9.46737,1.1749145,5941.694
612,Gaia DR3 4589703246234931584,272.84159722030364,29.57696417073567,9.016765,8.376826,9.490513,0.89234614,5084.3774
613,Gaia DR3 120830216155037056,50.97175814326806,29.891740573742418,9.070792,8.626583,9.344973,1.0328891,6160.5864
614,Gaia DR3 4011560481655102848,189.88163044487135,31.002559254015726,9.144242,8.494347,9.62903,1.0582684,5091.707
615,Gaia DR3 1897484051358124288,327.1420105462766,30.128277131709584,9.013428,8.624845,9.242239,1.177516,6449.449
616,Gaia DR3 887656254164536832,103.97242240540929,29.05787076624803,9.020217,8.702891,9.203463,1.0613295,6869.981
617,Gaia DR3 1323073647720827648,241.17199623529908,32.158296371585394,9.27387,8.875264,9.511331,0.9173525,6257.688
618,Gaia DR3 309887529699154560,18.758807481325366,30.23736010034782,9.007588,8.384715,9.462838,1.3163786,5294.294
619,Gaia DR3 741833455809698432,156.00937388511034,30.204043186783267,9.046179,8.585859,9.331614,1.0180231,5904.0576
620,Gaia DR3 2044822251643544704,293.7728827313966,31.3548139109349,9.043648,8.389325,9.532737,0.9371566,5183.4644
621,Gaia DR3 155211944756593024,72.50046283108902,28.941839537313342,9.001838,8.592963,9.247271,0.9055656,6230.6006
622,Gaia DR3 1452869655349419776,211.2240824074082,29.03930330363549,9.125479,8.476017,9.61115,1.0843934,5055.1235
623,Gaia DR3 1909972819821572224,348.6007563518959,31.77803849555925,9.000353,8.388243,9.439824,0.91054016,5594.7515
624,Gaia DR3 708864599651811200,126.5161650357562,30.86158369886063,9.0146885,8.687501,9.196618,0.9721136,6764.8086
625,Gaia DR3 4598457970129646976,260.84508966913984,28.042532190743554,9.009099,8.457037,9.39055,1.0914437,5502.929
626,Gaia DR3 131643981733828608,38.13808549397814,30.612523034185763,9.094689,8.3491,9.696185,0.9906221,5023.252
627,Gaia DR3 4020546618390173696,178.21881024621368,30.82744192164557,9.008409,8.618619,9.237685,0.9012086,6352.2695
628,Gaia DR3 1858309517221111680,313.92554542495753,28.972452481824856,9.152811,8.466639,9.680953,0.9117607,5017.8413
629,Gaia DR3 3438159047440730112,93.36949592705935,31.410742330495825,9.008579,8.500767,9.3435955,1.0411518,5649.7153
630,Gaia DR3 1275085840685731072,229.27030942078724,28.848752344909283,9.087744,8.595221,9.401637,1.2799151,5646.277
631,Gaia DR3 2858460959243777408,9.011516909465545,29.99282315030601,9.032936,8.500558,9.38393,0.8914117,5516.9126
632,Gaia DR3 792978029450715520,145.82266445172098,31.473254281039868,9.079305,8.416642,9.579101,0.9238387,5043.977
633,Gaia DR3 2041647549231448576,282.0615197135864,30.21346969715343,9.006808,8.530236,9.31334,0.9376971,5788.628
634,Gaia DR3 168604374341639936,58.398012253634846,30.773322041222674,9.05486,8.58608,9.354486,1.2291285,5824.502
635,Gaia DR3 1464485514661430528,196.0510939973238,30.219910853822498,9.214827,8.701957,9.55969,0.9584997,5574.2046
636,Gaia DR3 1894962115280642688,333.02711215388484,29.066220957605367,9.011125,8.484819,9.366001,1.0603896,5805.8584
637,Gaia DR3 879757805010042752,113.85371425001124,30.23618242666102,9.058795,8.696305,9.251571,0.97454566,6584.278
638,Gaia DR3 1311250564828312704,251.655821527924,29.937942906592795,9.102217,8.118263,10.091195,0.9637314,5016.2964
639,Gaia DR3 301112288742484224,29.098185844254104,30.448451060693525,9.001253,8.694951,9.168006,1.095332,6900.1284
640,Gaia DR3 733625464069058688,165.49323855759948,30.849620345594516,9.074985,8.613726,9.368062,0.9456461,5884.917
641,Gaia DR3 2029137649537324928,301.45220049840475,28.94291313251599,9.005866,8.592237,9.257691,0.8635227,6209.1504
642,Gaia DR3 3422300310196986496,78.48730980543432,28.224190967489413,9.093804,8.627211,9.390899,0.95852286,5815.1343
643,Gaia DR3 1280363737014446464,218.24615693630886,27.048516205427966,9.051498,8.597788,9.336991,0.89350194,5925.3975
644,Gaia DR3 2869814722471847936,353.2598107358863,30.43669151700337,9.393931,9.010888,9.621685,0.91395724,6361.944
645,Gaia DR3 706025694988738688,130.67975882323572,29.387242058543897,9.008003,8.618337,9.215801,0.97896373,6444.0415
646,Gaia DR3 4583743515254820736,269.72046319339154,27.428455183697473,9.066055,8.419532,9.549193,1.000429,5029.546
647,Gaia DR3 122990408610369280,46.996877170226355,30.340288081089582,9.037321,8.503308,9.395385,1.3190682,5718.3823
648,Gaia DR3 4015013154324827776,185.76787921230752,30.610725570198877,9.138746,8.698898,9.414421,0.9072159,6025.976
649,Gaia DR3 1800678031126934528,324.02558658463255,27.271169779858898,9.156725,8.709765,9.435528,0.9609899,5958.431
650,Gaia DR3 3435072649583201024,99.2315321681694,30.66259659037859,9.005884,8.359263,9.483641,1.063614,5642.7256
651,Gaia DR3 1320733921337429632,237.87370706005666,29.199703973288823,9.0468445,8.605679,9.316999,0.90241426,5981.652
652,Gaia DR3 311199728107504128,14.19826005980167,29.110577671080456,9.041287,8.619295,9.297508,0.9192956,6110.3496
653,Gaia DR3 743837143952279552,151.5990263724077,29.891635369169347,9.083453,8.703698,9.308442,0.9440491,6412.0137
654,Gaia DR3 2025630207464826112,291.1703957147735,27.17917112037068,9.050065,8.689824,9.255927,0.8990095,6511.844
655,Gaia DR3 151874750870835968,68.67698558938297,27.534700940313712,9.031756,8.592601,9.302252,1.0192093,5993.153
656,Gaia DR3 1451328140047502720,207.01150356352,26.515476409643938,9.073808,8.751361,9.252624,0.9764709,6812.721
657,Gaia DR3 1884645432038069632,343.18268183075077,29.121042029041654,9.002276,8.476059,9.363081,1.1864678,5625.726
658,Gaia DR3 874723248642418432,119.83079778776371,27.742683793910388,9.021713,8.646201,9.240381,1.0700716,6418.353
659,Gaia DR3 1309004022054566784,257.97646321605816,29.449258129832387,9.064747,8.383158,9.587964,1.1927263,5007.387
660,Gaia DR3 127605338085773696,36.91289791333747,27.324799598902832,9.097786,8.66975,9.355862,0.98864895,6315.984
661,Gaia DR3 4022632903048674816,171.92680084457905,29.8236382437375,9.0992155,8.795186,9.265505,0.9755194,6952.8535
662,Gaia DR3 1857272952636126976,309.1250942673887,28.18682517306129,9.157098,8.532907,9.614329,0.87953186,5070.669
663,Gaia DR3 3441383197788015616,86.11477292287654,26.900991034738993,9.040986,8.683429,9.246962,0.9683063,6556.6045
664,Gaia DR3 1269079277380258816,224.77481354020549,27.28882352168805,9.023241,8.355155,9.528332,1.0231556,5064.3037
665,Gaia DR3 2861041306876695680,1.15888084600561,29.722248124703256,9.065539,8.390742,9.577299,0.9774792,5226.54
666,Gaia DR3 695496634202529536,141.3752264424754,28.85333046466876,9.063575,8.625023,9.337623,1.0308205,6015.6665
667,Gaia DR3 4585510842759284992,276.29447928711096,26.726428720189816,9.167166,8.824916,9.362691,1.0863339,6980.141
668,Gaia DR3 119526195365144320,54.38666930700004,28.441768318076605,9.026143,8.585253,9.297421,0.8635629,6399.8457
669,Gaia DR3 3961870424459798016,191.9026209326795,27.409289571492824,9.047455,8.602161,9.325604,0.9989846,5974.1333
670,Gaia DR3 1893648817359232768,331.68935411161397,29.07942202002186,9.028662,7.992998,10.043277,1.1088762,5004.826
671,Gaia DR3 884621735214112128,107.4378552011921,28.713998464183803,9.016869,8.553903,9.306755,0.91950256,5946.1875
672,Gaia DR3 1305874296566100608,246.68275850465804,28.828760408878505,9.106641,8.751522,9.309835,0.8453397,6544.759
673,Gaia DR3 292687456988812544,24.708141064085602,26.644058336007916,9.169709,8.774125,9.4044285,0.93599665,6420.3687
674,Gaia DR3 734597397988277248,159.76972093253,29.20013697679027,9.112125,8.733361,9.331671,0.956553,6396.6426
675,Gaia DR3 2028645377608851584,297.71024899464993,28.59963106493603,9.047251,8.420944,9.504488,0.8410413,5187.9194
676,Gaia DR3 154988984414636928,74.21436375438613,28.417011663055366,9.053856,8.1830845,9.83872,1.0439544,5256.6475
677,Gaia DR3 1452869655349419776,211.2240824074082,29.03930330363549,9.125479,8.476017,9.61115,1.0843934,5055.1235
678,Gaia DR3 2845116358417596672,350.22567378259896,28.06706669322663,9.022384,8.603242,9.274187,1.0101367,6135.4653
679,Gaia DR3 704383093336499456,129.42260930320936,28.37456246146751,9.07394,8.519861,9.456817,0.9704174,5421.889
680,Gaia DR3 4594174272828821632,264.1957559276741,26.52656320638141,9.102533,8.747103,9.308421,0.9910172,6560.9185
681,Gaia DR3 114469060352075648,43.283366906678445,25.915974979562247,9.073651,8.730818,9.2670355,0.9679616,6903.023
682,Gaia DR3 4006375116099280640,180.03157923207652,26.041380853102826,9.177882,8.688519,9.498156,1.0064057,5703.412
683,Gaia DR3 1841846941928524288,317.9949515673946,26.299522203451616,9.043684,8.71199,9.229721,0.94883025,6739.088
684,Gaia DR3 3432885175497462144,94.44329783616489,26.369025516097494,9.024793,8.519394,9.357721,0.976934,5872.1665
685,Gaia DR3 1270673603602449024,231.55674297899452,26.71992835919292,9.086718,8.715788,9.301609,1.01798,6575.4277
686,Gaia DR3 2809193659973525504,9.592682925409589,26.432940014701565,9.011845,8.642018,9.22523,0.88719857,6529.729
687,Gaia DR3 646353545385255296,146.04770422383706,25.352846402175345,9.021756,8.557024,9.298858,0.8864589,5881.871
688,Gaia DR3 4533992229019299712,285.47656767301504,25.75898941144562,9.0795765,8.580829,9.405792,1.0003482,5727.041
689,Gaia DR3 162271049925336320,62.64948451430152,25.36243164776031,9.021868,8.638452,9.24698,1.0271133,6403.2373
690,Gaia DR3 1448260262087566848,201.41398641950857,25.682149025038576,9.009476,8.568003,9.28287,1.0306462,6003.8325
691,Gaia DR3 1881656993791971072,336.65247301452257,27.76272995669771,9.122238,8.699134,9.380625,0.9841561,6109.4907
692,Gaia DR3 874908000955574144,116.4647525182511,26.5642878540395,9.023892,8.653071,9.240795,1.0157697,6514.9194
693,Gaia DR3 4572724965633694208,254.23595578245576,24.942901473830254,9.185026,8.761459,9.443307,1.0101421,6096.2905
694,Gaia DR3 297381065969575168,28.952798600754214,25.417522019138236,9.277999,8.561408,9.845373,0.98892045,5078.0034
695,Gaia DR3 3997501090894827776,168.82769531696943,27.04996141373783,9.160184,8.68705,9.465678,1.0412842,5798.0034
696,Gaia DR3 1836915941525376256,303.84550628231983,27.53319098045879,9.065942,8.662698,9.307087,0.92416847,6383.915
697,Gaia DR3 3442293524696256640,82.3790695536742,27.843655789852274,9.089306,8.732383,9.294495,0.9380103,6989.3364
698,Gaia DR3 1266074105943373440,222.19835723163195,24.58371627436672,9.053764,8.582846,9.354429,0.98889333,5818.778
699,Gaia DR3 2852755043652569088,356.39619882076346,25.471913040303086,9.050913,8.766938,9.1832905,1.0535243,6672.35
700,Gaia DR3 686791010370814720,135.03193296843278,24.373835766118074,9.023211,8.687447,9.210465,0.9050507,6802.0854
701,Gaia DR3 4579925358049008256,272.6186981048222,25.918794327487056,9.215321,8.820297,9.447563,1.0630242,6465.757
702,Gaia DR3 117292984169827328,51.35527798992102,25.95216945735029,9.01423,8.265581,9.617762,0.88427913,5539.547
703,Gaia DR3 3960696249120477696,188.0600077297143,25.970064511731316,9.046249,8.587309,9.340721,1.008826,5916.517
704,Gaia DR3 1798896513052442240,323.98543133582365,26.369642212726834,9.117694,8.667369,9.396653,1.0089902,6093.4834
705,Gaia DR3 3380462866265144064,103.4790757038198,23.87328119243085,9.040965,8.587941,9.323843,0.97905463,5905.5713
706,Gaia DR3 1220165715913685504,239.74292052323833,26.13458407187665,9.255885,8.924872,9.442294,1.0720091,6802.28
707,Gaia DR3 306853732305102720,18.784303629561077,26.582932923830374,9.028482,8.627755,9.266437,1.0819569,6336.9336
708,Gaia DR3 725670256923927936,156.02334881215432,23.715578747244507,9.107982,8.618505,9.426393,0.8196981,5831.4766
709,Gaia DR3 2021320018829766400,293.7980482561474,24.67231920971256,9.013082,8.590737,9.270119,0.94674134,6114.4165
710,Gaia DR3 151874750870835968,68.67698558938297,27.534700940313712,9.031756,8.592601,9.302252,1.0192093,5993.153
711,Gaia DR3 1450204576602900992,208.60553300905877,25.205607511583693,9.023839,8.574852,9.303648,0.87979704,5935.738
712,Gaia DR3 1883223522984694784,345.288260217715,26.99204635937311,9.047975,8.592079,9.336824,1.060053,5911.8677
713,Gaia DR3 677685885862404736,123.77686426679934,23.938362728186203,9.012209,8.36307,9.495575,1.0420387,5071.9995
714,Gaia DR3 4570391767600475008,259.3148470689553,24.617503279370542,9.023643,8.355332,9.531544,0.9925595,5004.293
715,Gaia DR3 102365189676742016,38.45090449587392,25.2741427248474,9.035639,8.521835,9.377891,1.1424148,5610.4004
716,Gaia DR3 3981019244091456768,173.9403106264568,23.70267617754354,9.042182,8.693588,9.239446,0.9533345,6603.996
717,Gaia DR3 1844129867366231680,312.78862884951076,26.576811721953103,9.020916,8.566635,9.304918,0.91768295,5908.37
718,Gaia DR3 3425380390161511424,91.94514922752221,23.479133127960683,9.022735,8.386037,9.492723,0.9456549,5088.9404
719,Gaia DR3 1270357081691980800,230.06827036776536,26.004345857223704,9.147384,8.801826,9.344815,1.0812413,6978.758
720,Gaia DR3 2807252648288987776,5.859108649671177,24.81452675302336,9.033036,8.609726,9.293422,0.94783837,6118.043
721,Gaia DR3 645394809901150720,142.72669420988444,24.871646191564686,9.119451,8.492153,9.576849,0.8578052,5540.082
722,Gaia DR3 4537714213308498432,280.7815970329697,25.928944345501144,9.001924,8.274328,9.585404,0.92158365,5107.6255
723,Gaia DR3 66969676998824576,57.77650195986893,25.594492433140854,9.013485,8.625974,9.2411585,0.89512056,6748.0137
724,Gaia DR3 3957715095141104896,193.7674422325607,24.402930593175842,9.097297,8.600423,9.42543,1.0108542,5695.4116
725,Gaia DR3 1878377455547319424,333.4340644654974,23.36146809890367,9.060359,8.676832,9.287057,1.0657566,6553.3516
726,Gaia DR3 870179448121773696,110.38691142490045,25.231737123735805,9.199488,8.719382,9.363394,1.1832545,6440.685
727,Gaia DR3 1299384497902599936,249.71031316582688,22.756083755680976,9.004373,8.638784,9.21439,0.93956184,6531.7007
728,Gaia DR3 292687456988812544,24.708141064085602,26.644058336007916,9.169709,8.774125,9.4044285,0.93599665,6420.3687
729,Gaia DR3 3989976140688596608,162.80521481632906,23.528432619408168,9.001597,8.510846,9.317823,0.8678841,5704.436
730,Gaia DR3 1834934449779973504,301.6298086811935,26.535550544109327,9.015076,8.046521,9.986127,0.99580276,5091.176
731,Gaia DR3 3415975850595525376,78.83162432365637,24.515859462451083,9.186514,8.7658415,9.442054,0.97548306,6125.914
732,Gaia DR3 1254340805046026752,215.99547939485393,22.551257824921375,9.027576,8.43899,9.447486,1.0161588,5110.383
733,Gaia DR3 2839578530664807296,351.6731683746733,22.69298976761864,9.067585,8.576963,9.385468,0.8820176,5756.3105
734,Gaia DR3 702809726557123328,130.09498252181817,26.079704199230502,9.010508,8.716909,9.170951,0.9456812,6963.9507
735,Gaia DR3 4581189830780526720,268.938020242122,25.25358493910731,9.011545,8.325761,9.537156,0.97923917,5077.5493
736,Gaia DR3 111686299502921216,47.020384723010956,24.57500863878832,9.119786,8.725279,9.352555,0.9418408,6508.753
737,Gaia DR3 4001996860797127040,182.76191035790478,24.317970270577536,9.007708,8.519074,9.327568,1.1053172,5702.476
738,Gaia DR3 1797318610786618752,322.44719190119736,23.51354427692283,9.112695,8.694522,9.36301,0.9336606,6203.29
739,Gaia DR3 3382334509935099776,98.18604447819571,23.083002892928118,9.005552,8.394236,9.453712,1.0449727,5064.2646
740,Gaia DR3 1221231005242497408,236.0550642954611,24.694554977494903,9.016584,8.346009,9.524749,0.9824605,5170.3057
741,Gaia DR3 2804638421955079936,12.553430766663787,23.689924702356876,9.122286,8.615173,9.45769,1.0766158,5584.84
742,Gaia DR3 642223023797050880,149.48721431971046,23.780555193676435,9.133215,8.643502,9.435624,1.1574497,5736.3706
743,Gaia DR3 2023460561780216960,288.7116486509735,24.54180277346434,9.222054,8.786886,9.427512,1.0206956,6263.345
744,Gaia DR3 149012692040809088,63.957928792402264,23.51288952128174,9.390542,8.816046,9.777181,0.88532954,6248.5156
745,Gaia DR3 1448260262087566848,201.41398641950857,25.682149025038576,9.009476,8.568003,9.28287,1.0306462,6003.8325
746,Gaia DR3 1875822710217192960,340.05866178602014,22.501838326790864,9.0011215,8.359481,9.474073,0.9522861,5546.89
747,Gaia DR3 675284483748140800,117.27904471452548,23.11943280301426,9.030381,8.479197,9.412633,0.9818119,5348.9805
748,Gaia DR3 4572572820712144512,254.1084959866274,24.283117472823037,9.108591,8.676003,9.374971,0.97191584,6048.009
749,Gaia DR3 100478530802503552,33.09670755182145,22.430753191384788,9.045644,8.518355,9.404315,0.9177803,5483.731
750,Gaia DR3 3992926091731230592,171.88157546185718,24.0409787777987,9.113339,8.568134,9.491627,1.0059887,5431.2646
751,Gaia DR3 1817743619824858112,309.4764535900046,21.6680714336739,9.042205,8.728765,9.2146845,0.95165753,6922.1035
752,Gaia DR3 3427594600421637632,86.20183356593088,23.144133076673143,9.00834,8.504764,9.342278,1.1774904,5901.7603
753,Gaia DR3 1266074105943373440,222.19835723163195,24.58371627436672,9.053764,8.582846,9.354429,0.98889333,5818.778
754,Gaia DR3 2853064693614016384,359.9688734402041,25.210200866495075,9.000064,8.600906,9.239473,1.0409477,6292.5884
755,Gaia DR3 637212278727181568,137.16360063310415,21.38568028609538,9.141184,8.749621,9.373015,0.948836,6421.3555
756,Gaia DR3 4535434272869165824,277.68333768532784,23.09075306963431,9.027957,8.539248,9.345158,0.8880732,5753.044
757,Gaia DR3 67673398797958272,53.57519171432403,22.986497976314332,9.018594,8.5336,9.334356,0.9774186,5696.3716
758,Gaia DR3 3959423255173780992,190.80628386773625,24.609600209241798,9.049212,8.719371,9.235097,1.0512735,6744.8506
759,Gaia DR3 1793406926371233280,326.77343077536676,22.382503647517677,9.047269,8.597916,9.326286,0.8758663,5966.749
760,Gaia DR3 3368010725283053568,105.39030045827101,22.409714966857262,9.045575,8.339959,9.591271,0.97322655,5037.7837
761,Gaia DR3 1302514463909906560,245.21516673391224,24.97204794407546,9.231125,8.866411,9.442239,0.9985032,6635.045
762,Gaia DR3 290205412568624256,21.706567422615482,22.790956213792132,9.09883,8.662035,9.368791,0.9730954,5993.696
763,Gaia DR3 722652715981184512,156.81302735283188,23.399749494666853,9.041589,8.655029,9.271969,0.94288665,6334.0815
764,Gaia DR3 2018651538431892864,294.1296147067649,22.598956071746702,9.006555,8.510913,9.328136,0.7844078,5768.7876
765,Gaia DR3 3412346435727480320,73.60839768298487,21.74997611428785,9.071864,8.650903,9.32635,0.8309866,6124.838
766,Gaia DR3 1256674342381620352,211.80783725221232,23.149151037280458,9.333622,8.979503,9.538251,1.0703506,6562.334
767,Gaia DR3 2837910227928311168,349.94791289059265,21.258513560382188,9.037888,8.610029,9.298522,0.9714006,6533.9673
768,Gaia DR3 678486227248283008,127.81417353811915,24.410282037798975,9.018312,8.536982,9.32619,0.89938724,5928.1855
769,Gaia DR3 4555305815235699712,261.87641811427096,21.348645802051568,9.092347,8.668237,9.351183,1.0163356,6099.2095
770,Gaia DR3 88348100049688448,39.40068520822365,21.415210357918024,9.106153,8.642636,9.3983135,0.9841614,5839.434
771,Gaia DR3 4004292915953815936,178.64368412520457,23.810815423214475,9.068102,8.50874,9.457485,1.2505621,5350.1846
772,Gaia DR3 1840019725399250176,316.94604833454076,22.86791171645161,9.064568,8.655364,9.311919,1.0293633,6330.8975
773,Gaia DR3 3425380390161511424,91.94514922752221,23.479133127960683,9.022735,8.386037,9.492723,0.9456549,5088.9404
774,Gaia DR3 1215630677124340736,231.17574937658986,23.277159358363892,9.0270605,8.52455,9.356317,1.1379269,5699.3867
