# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
116,Kepler-45,0.887113,600.0,0.0,600.0
117,TOI-2384,0.887002,600.0,0.0,600.0
118,61_Cygni_A,0.886891,600.0,0.0,600.0
119,KELT-11,0.88678,600.0,0.0,600.0
120,TOI-762_A,0.886669,600.0,0.0,600.0
121,EQ_Peg,0.886558,600.0,0.0,600.0
122,G164519276325850752,0.886447,600.0,0.0,600.0
123,HD_33793,0.886336,600.0,0.0,600.0
124,Barnards_Star,0.886225,600.0,0.0,600.0
125,TOI-5688_A,0.886114,600.0,0.0,600.0
126,HD_215441,0.886003,600.0,0.0,600.0
127,HD_6090,0.885892,600.0,0.0,600.0
128,G157011536054213504,0.88578,600.0,0.0,600.0
129,NGTS-1,0.885669,600.0,0.0,600.0
130,HD_30353,0.885558,600.0,0.0,600.0
131,HD_95735,0.885447,600.0,0.0,600.0
132,K2-419_A,0.885336,600.0,0.0,600.0
133,G151423440003137024,0.885225,600.0,0.0,600.0
134,BD-16_251,0.885114,600.0,0.0,600.0
135,HD_50169,0.885003,600.0,0.0,600.0
136,G146767764173923328,0.884892,600.0,0.0,600.0
137,HD_184738,0.884781,600.0,0.0,600.0
138,HD_125823,0.88467,600.0,0.0,600.0
139,TOI-6383_A,0.884558,600.0,0.0,600.0
140,G3314351053152780032,0.884447,600.0,0.0,600.0
141,HD_101065,0.884336,600.0,0.0,600.0
142,TOI-6330,0.884225,600.0,0.0,600.0
143,HD_37519,0.884114,600.0,0.0,600.0
144,HD_114762,0.884003,600.0,0.0,600.0
145,TOI-5634_A,0.883892,600.0,0.0,600.0
146,G151129011404806912,0.883781,600.0,0.0,600.0
147,G146881048231272192,0.88367,600.0,0.0,600.0
148,HD_304043,0.883559,600.0,0.0,600.0
149,BD_44_2051,0.883448,600.0,0.0,600.0
150,HD_188136,0.883336,600.0,0.0,600.0
151,TOI-2379,0.883225,600.0,0.0,600.0
152,Wolf_359,0.883114,600.0,0.0,600.0
153,HATS-71,0.883003,600.0,0.0,600.0
154,V733_Cephei,0.882892,600.0,0.0,600.0
155,G152349022637314176,0.882781,600.0,0.0,600.0
156,G146874275068113664,0.88267,600.0,0.0,600.0
157,HR_2422,0.882559,600.0,0.0,600.0
158,TOI-5344,0.882448,600.0,0.0,600.0
159,G152516079683687680,0.882337,600.0,0.0,600.0
160,RU_Lupi,0.882226,600.0,0.0,600.0
161,G152305248330621184,0.882114,600.0,0.0,600.0
162,YZ_CMI,0.882003,600.0,0.0,600.0
163,G960686430659873024,0.881892,600.0,0.0,600.0
164,TIC_96745915,0.881781,600.0,0.0,600.0
165,TIC_181273463,0.88167,600.0,0.0,600.0
166,TIC_70847587,0.881559,600.0,0.0,600.0
167,TIC_217157387,0.881448,600.0,0.0,600.0
168,TIC_147407292,0.881337,600.0,0.0,600.0
169,TIC_458494003,0.881226,600.0,0.0,600.0
170,TIC_179348425,0.881115,600.0,0.0,600.0
171,TIC_353969903,0.881004,600.0,0.0,600.0
